"AOL_ID","AOL_OMS"
3,"Dier"
9,"Eenzijdig"
7,"Flank"
6,"Frontaal"
2,"Geparkeerd voertuig"
8,"Kop/staart"
5,"Los voorwerp"
0,"Onbekend"
4,"Vast voorwerp"
1,"Voetganger"
