"WSE_ID","WSE_OMS"
1,"Rechte weg"
2,"Bocht"
3,"Rotonde"
4,"Kruispunt  3 takken"
5,"Kruispunt  4 takken"
6,"Rechte weg  gescheiden rijbanen"
7,"Invoegstrook op (auto)snelweg"
8,"Uitvoegstrook op (auto)snelweg"
