GME_NAAM,lat,lng
Stichtse Vecht,52.161086,5.010794
Utrechtse Heuvelrug,52.0422,5.4506
Houten,52.0261,5.1728
IJsselstein,52.02,5.0422
Leusden,52.1331,5.4297
Lopik,51.9722,4.9464
Montfoort,52.045,4.9508
Nieuwegein,52.0314,5.0919
Oudewater,52.0267,4.8686
Vianen,51.983333333,5.1
Wijk bij Duurstede,51.9761,5.3369
Woudenberg,52.0806,5.4164
Zeist,52.083333333,5.233333333
Waalwijk,51.683333333,5.066666666
Dommelen,51.3569,5.4306
Westerveld,52.7667,6.2333
Bellingwedde,53.0667,7.0667
Bronckhorst,52.05,6.3
Sliedrecht,51.822222222,4.774444444
Ferwerderadiel,53.3294,5.8408
Weststellingwerf,52.883333333,6.0
Ermelo,52.3,5.633055555
Vledder,52.8556,6.2103
Hulsberg,50.8883,5.8553
Leeuwarderadeel,53.266666666,5.766666666
De Werken en Sleeuwijk,51.813072,4.92239
Grafhorst,52.5825,5.9339
Linne,51.1542,5.9392
Belfeld,51.31,6.1144
Culemborg,51.95,5.233333333
Benthuizen,52.0761,4.5447
Bergh,51.883333333,6.25
Bergschenhoek,51.98,4.5
Berkel en Rodenrijs,51.99,4.47
Oostflakkee,51.6842,4.2664
Waddinxveen,52.033333333,4.633333333
Hellevoetsluis,51.833333333,4.133333333
Noordenveld,53.1333,6.4167
Leek,53.15,6.3833
De Wolden,52.6667,6.4167
Borger-Odoorn,52.8667,6.85
Midden-Drenthe,52.85,6.5
Tynaarlo,53.083333333,6.6
Vlagtwedde,52.9333,7.15
Vlagtwedde,53.0261,7.1117
Lemsterland,52.85,5.716666666
Opsterland,53.0036,6.0664
Tytsjerksteradiel,53.2,6.0
Boornsterhim,53.066944444,5.847222222
De Marne,53.35,6.3667
Marum,53.1333,6.25
Brummen,52.1,6.166666666
Rheden,52.0,6.016666666
Wervershoof,52.7347,5.1492
Voorschoten,52.125,4.445
Loppersum,53.3167,6.7333
Slochteren,53.2167,6.8
Wymbritseradiel,53.016666666,5.616666666
Gaasterland-Sloten,52.8583,5.5242
het Bildt,53.2933,5.6494
Beuningen,51.866666666,5.766666666
Dongeradeel,53.316666666,6.0
Littenseradiel,53.116666666,5.583333333
Markelo,52.234166666,6.495277777
Strijen,51.742222222,4.551388888
Binnenmaas,51.8092,4.5081
Bleiswijk,52.01,4.54
Bleskensgraaf en Hofwegen,51.87083333,4.78444444
Bodegraven-Reeuwijk,52.061778,4.726867
Groningen,53.2167,6.5667
Maasdriel,51.7667,5.3333
Brederwiede,52.679589,5.950475
Dirksland,51.75,4.1
Stavenisse,51.5861,4.0122
Stavenisse,51.5875,4.0125
Molenaarsgraaf,51.8767,4.8231
Eede,51.2467,3.4436
Mijnsheerenland,51.7964,4.4831
Voorhout,52.223055555,4.486388888
Ferwerd,53.3378,5.8247
Oudorp,52.6331,4.7736
Polsbroek,51.9781,4.8519
Maasbree,51.35,6.05
Metslawier,53.36,6.0678
Nunspeet,52.3333,5.7833
Oude IJsselstreek,51.8667,6.3833
Oldebroek,52.4667,5.9167
Lochem,52.15,6.4167
Menterwolde,53.1333,6.8667
Pekela,53.0833,6.98333
Neerijnen,51.8333,5.2833
Hillegom,52.291666666,4.579444444
Druten,51.8889,5.6044
Heumen,51.7656,5.8433
Goeree-Overflakkee,51.75,4.116666666
Papendrecht,51.833333333,4.683333333
